Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8200557,The Invisible Bridge,Julie Orringer,"Orringer, Julie",,"=""""","=""""",0,4.18,,Kindle Edition,786,2010,2010,,2022/03/28,to-read,to-read (#108),to-read,,,,0,0
61329,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,"Moore, Geoffrey A.",Regis McKenna,"=""0060517123""","=""9780060517120""",0,4.02,HarperBusiness,Paperback,211,2006,2006,,2022/03/08,to-read,to-read (#107),to-read,,,,0,0
315425,In Defense of Food: An Eater's Manifesto,Michael Pollan,"Pollan, Michael",,"=""1594201455""","=""9781594201455""",0,4.07,Penguin Press,Hardcover,205,2008,2008,,2022/02/21,to-read,to-read (#106),to-read,,,,0,0
50403472,Blockchain Chicken Farm: And Other Stories of Tech in China's Countryside,Xiaowei Wang,"Wang, Xiaowei",,"=""0374538662""","=""9780374538668""",0,4.02,FSG Adult,Paperback,256,2020,2020,,2022/02/20,to-read,to-read (#105),to-read,,,,0,0
251665,Hotel du Lac,Anita Brookner,"Brookner, Anita",,"=""0679759328""","=""9780679759324""",0,3.60,Vintage Books,Paperback,184,1995,1984,,2022/02/20,to-read,to-read (#104),to-read,,,,0,0
58009109,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,"Mallaby, Sebastian",,"=""052555999X""","=""9780525559993""",0,4.43,Penguin Press,Hardcover,496,2022,2022,,2022/02/01,to-read,to-read (#103),to-read,,,,0,0
3532010,Dollar Bahu,Sudha Murty,"Murty, Sudha",,"=""0143103768""","=""9780143103769""",0,3.74,India Penguin,Paperback,150,2007,2001,,2022/01/20,to-read,to-read (#102),to-read,,,,0,0
54968118,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"Isaacson, Walter",,"=""1982115858""","=""9781982115852""",5,4.29,Simon & Schuster,Hardcover,536,2021,2021,,2022/01/04,,,read,Walter Issacson’s writing mixes technical and heavy historical details with a certain playfulness and drama making book an easy read.,,,1,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",5,4.28,Knopf,Kindle Edition,368,2019,2019,2022/01/04,2021/07/12,,,read,"Fascinating stories on time travel, AI, language, often reminding you of Black mirror. My personal favourite stories were The Lifecycle of Software Objects since it directly relates to my field of work. <br/>Second fav was The Merchant and the Alchemist’s gate exploring various human emotions (success, remorse, greed, ..) in an immutable time travel setting (past and future is fixed). Special points for finer details on Arabian/Egyptian backdrop which immediately transports you to a far away land and time period.",,,1,0
30843,The Great Indian Novel,Shashi Tharoor,"Tharoor, Shashi",,"=""1559701943""","=""9781559701945""",0,3.89,Arcade Publishing,Paperback,423,1993,1989,,2022/01/03,to-read,to-read (#101),to-read,,,,0,0
58647975,Viral: The Search for the Origin of COVID-19,Alina Chan,"Chan, Alina",Matt Ridley,"=""""","=""""",0,4.27,Harper,Kindle Edition,416,2021,2021,,2022/01/02,to-read,to-read (#100),to-read,,,,0,0
34128230,The River of Consciousness,Oliver Sacks,"Sacks, Oliver",,"=""0385352565""","=""9780385352567""",0,3.95,Knopf,Hardcover,256,2017,2017,,2021/12/31,to-read,to-read (#99),to-read,,,,0,0
49934534,4321,Paul Auster,"Auster, Paul",Albert Nolla Cabellos,"=""8417420282""","=""9788417420284""",0,3.96,labutxaca,Paperback,896,2019,2017,,2021/12/23,to-read,to-read (#97),to-read,,,,0,0
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",0,3.75,Random House,Hardcover,368,2017,2017,,2021/12/23,to-read,to-read (#96),to-read,,,,0,0
25135194,Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,"Marshall, Tim",,"=""1783961414""","=""9781783961412""",0,4.20,Elliott & Thompson,Hardcover,256,2015,2015,,2021/12/23,to-read,to-read (#95),to-read,,,,0,0
56696339,The Power of Geography: Ten Maps That Reveal the Future of Our World,Tim  Marshall,"Marshall, Tim",,"=""1783965371""","=""9781783965373""",0,4.20,Elliott & Thompson Limited,Hardcover,360,2021,2021,,2021/12/23,to-read,to-read (#94),to-read,,,,0,0
44882,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"Petzold, Charles",,"=""0735611319""","=""9780735611313""",0,4.39,Microsoft Press,Paperback,396,2000,1999,,2021/12/11,to-read,to-read (#93),to-read,,,,0,0
58229783,Reinforcement Learning: An Introduction,Richard S. Sutton,"Sutton, Richard S.",,"=""""","=""""",0,4.53,,Kindle Edition,,2021,,,2021/12/09,to-read,to-read (#92),to-read,,,,0,0
